***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
73,48:09:20N,02:15:53E,121.0M,T,PITHIVIERS,Navaid|ID:PTV|Frequency:116.5/|Range:100 NM |Magnetic declination:0.08418|Aligned to true north:FALSE
74,49:06:20N,02:02:45E,95.0M,T,PONTOISE,Navaid|ID:PON|Frequency:111.6/|Range: NM |Magnetic declination:0.135|Aligned to true north:FALSE
75,47:57:26N,04:11:05W,84.0M,T,QUIMPER PLUGUFFAN,Navaid|ID:QPR|Frequency:117.800/125X|Range:150 NM |Magnetic declination:-3|Aligned to true north:FALSE
76,47:58:05N,03:59:54W,101.0M,T,QUIMPER PLUGUFFAN,Navaid|ID:RQ|Frequency:380/|Range:25 NM |Magnetic declination:-3|Aligned to true north:FALSE
77,47:58:05N,03:59:54W,101.0M,T,QUIMPER PLUGUFFAN,Navaid|ID:RQ|Frequency:380/|Range:25 NM |Magnetic declination:-3|Aligned to true north:FALSE
78,48:03:11N,01:35:04W,55.0M,T,RENNES SAINT JACQUES,Navaid|ID:RS|Frequency:349/|Range:25 NM |Magnetic declination:-2|Aligned to true north:FALSE
79,48:04:09N,01:44:30W,30.0M,T,RENNES SAINT JACQUES,Navaid|ID:REN|Frequency:109.250/29Y|Range:150 NM |Magnetic declination:-2|Aligned to true north:FALSE
80,48:34:03N,02:46:57W,67.0M,T,SAINT BRIEUC ARMOR,Navaid|ID:SB|Frequency:353/|Range:35 NM |Magnetic declination:-2|Aligned to true north:FALSE
81,45:44:44N,05:05:26E,234.0M,T,SAINT EXUPERY,Navaid|ID:LSE|Frequency:114.75/|Range: NM |Magnetic declination:0.92899|Aligned to true north:FALSE
82,47:20:01N,02:02:40W,2.0M,T,SAINT NAZAIRE MONTOIR,Navaid|ID:MT|Frequency:398/|Range:50 NM |Magnetic declination:-1|Aligned to true north:FALSE
83,47:46:09N,02:39:41W,75.0M,T,VANNES MEUCON,Navaid|ID:VA|Frequency:342/|Range:25 NM |Magnetic declination:-1|Aligned to true north:FALSE
